iter	Passed	Remaining
397	24578	37176
398	24611	37071
399	24639	36959
400	24673	36855
401	24702	36746
402	24727	36631
403	24754	36519
404	24789	36419
405	24824	36320
406	24854	36213
407	24887	36111
408	24918	36006
409	24950	35904
410	24987	35808
411	25013	35698
412	25038	35587
413	25068	35483
414	25108	35394
415	25136	35288
416	25166	35184
417	25195	35081
418	25222	34975
419	25252	34872
420	25293	34785
421	25321	34681
422	25350	34579
423	25384	34484
424	25409	34377
425	25434	34270
426	25469	34177
427	25503	34084
428	25530	33981
429	25561	33883
430	25596	33792
431	25625	33692
432	25663	33604
433	25724	33548
434	25783	33488
435	25819	33399
436	25854	33309
437	25915	33251
438	25963	33179
439	26030	33129
440	26101	33085
441	26165	33033
442	26234	32986
443	26285	32916
444	26332	32841
445	26401	32795
446	26454	32728
447	26513	32668
448	26557	32590
449	26601	32512
450	26666	32460
451	26724	32400
452	26777	32333
453	26851	32292
454	26897	32217
455	26932	32130
456	26978	32055
457	27032	31990
458	27098	31939
459	27137	31857
460	27181	31781
461	27235	31715
462	27292	31654
463	27359	31604
464	27411	31537
465	27460	31468
466	27514	31402
467	27572	31343
468	27626	31278
469	27673	31206
470	27708	31121
471	27739	31031
472	27773	30944
473	27811	30862
474	27855	30787
475	27903	30716
476	27936	30630
477	27981	30557
478	28018	30475
479	28053	30391
480	28095	30315
481	28128	30229
482	28179	30163
483	28214	30079
484	28254	30002
485	28309	29940
486	28366	29881
487	28407	29804
488	28438	29717
489	28479	29642
490	28521	29567
491	28576	29505
492	28619	29431
493	28662	29358
494	28704	29284
495	28745	29208
496	28802	29149
497	28851	29083
498	28887	29003
499	28915	28915
500	28941	28826
501	28973	28742
502	29002	28656
503	29032	28572
504	29086	28510
505	29121	28430
506	29162	28357
507	29207	28287
508	29251	28217
509	29299	28150
510	29337	28074
511	29408	28030
512	29457	27964
513	29501	27894
514	29534	27814
515	29585	27750
516	29625	27677
517	29689	27626
518	29745	27567
519	29795	27503
520	29845	27439
521	29912	27391
522	29963	27327
523	30019	27269
524	30072	27208
525	30117	27140
526	30168	27077
527	30199	26996
528	30240	26925
529	30280	26852
530	30323	26783
531	30361	26708
532	30402	26637
533	30441	26564
534	30486	26497
535	30515	26416
536	30555	26344
537	30594	26273
538	30625	26193
539	30661	26119
540	30692	26040
541	30719	25958
542	30760	25889
543	30804	25821
544	30834	25742
545	30895	25689
546	30930	25615
547	30984	25556
548	31021	25484
549	31058	25411
550	31100	25343
551	31126	25262
552	31175	25199
553	31216	25130
554	31253	25058
555	31294	24990
556	31333	24920
557	31372	24850
558	31404	24775
559	31441	24704
560	31484	24637
561	31520	24565
562	31557	24494
563	31590	24420
564	31615	24341
565	31652	24270
566	31683	24195
567	31710	24117
568	31743	24044
569	31774	23970
570	31808	23898
571	31835	23821
572	31879	23756
573	31906	23679
574	31940	23608
575	31968	23532
576	31988	23450
577	32009	23369
578	32032	23291
579	32063	23218
580	32087	23140
581	32111	23062
582	32139	22988
583	32165	22912
584	32185	22832
585	32211	22756
586	32247	22688
587	32275	22614
588	32296	22536
589	32320	22460
590	32352	22389
591	32380	22315
592	32401	22238
593	32433	22168
594	32468	22100
595	32495	22027
596	32521	21953
597	32554	21884
598	32586	21815
599	32613	21742
600	32663	21685
601	32689	21612
602	32710	21535
603	32741	21466
604	32768	21393
605	32790	21319
606	32810	21243
607	32840	21173
608	32867	21101
609	32891	21028
610	32913	20954
611	32946	20887
612	32972	20816
613	32996	20743
614	33022	20672
615	33048	20601
616	33075	20531
617	33099	20459
618	33141	20398
619	33177	20334
620	33206	20266
621	33240	20201
622	33277	20137
623	33304	20068
624	33343	20005
625	33377	19941
626	33400	19869
627	33435	19805
628	33465	19738
629	33487	19667
630	33509	19595
631	33548	19534
632	33572	19464
633	33594	19393
634	33627	19329
635	33666	19268
636	33688	19197
637	33714	19129
638	33755	19069
639	33789	19006
640	33816	18939
641	33849	18875
642	33880	18810
643	33910	18745
644	33946	18683
645	33977	18619
646	34004	18552
647	34042	18492
648	34076	18429
649	34105	18364
650	34136	18300
651	34166	18236
652	34192	18169
653	34218	18103
654	34263	18047
655	34286	17979
656	34309	17912
657	34336	17846
658	34362	17781
659	34385	17713
660	34407	17646
661	34438	17583
662	34466	17518
663	34490	17453
664	34524	17391
665	34550	17327
666	34580	17264
667	34605	17198
668	34630	17133
669	34655	17069
670	34677	17002
671	34699	16936
672	34730	16874
673	34757	16811
674	34776	16744
675	34796	16677
676	34825	16615
677	34853	16553
678	34874	16487
679	34893	16420
680	34920	16357
681	34953	16297
682	34974	16232
683	34995	16167
684	35028	16107
685	35059	16047
686	35081	15983
687	35106	15920
688	35139	15861
689	35161	15797
690	35186	15734
691	35211	15671
692	35253	15617
693	35276	15554
694	35301	15492
695	35327	15430
696	35352	15368
697	35372	15304
698	35395	15242
699	35421	15180
700	35446	15119
701	35468	15056
702	35490	14993
703	35520	14934
704	35549	14875
705	35570	14812
706	35590	14749
707	35627	14693
708	35658	14635
709	35683	14574
710	35706	14513
711	35745	14458
712	35767	14397
713	35788	14335
714	35814	14275
715	35840	14216
716	35863	14155
717	35884	14093
718	35905	14032
719	35932	13973
720	35955	13913
721	35974	13851
722	35998	13792
723	36039	13738
724	36066	13680
725	36089	13620
726	36120	13563
727	36147	13505
728	36171	13446
729	36195	13387
730	36222	13329
731	36253	13273
732	36275	13213
733	36298	13154
734	36330	13098
735	36353	13039
736	36376	12980
737	36401	12923
738	36440	12870
739	36474	12815
740	36504	12759
741	36543	12706
742	36572	12650
743	36597	12592
744	36627	12536
745	36661	12482
746	36685	12424
747	36716	12369
748	36749	12315
749	36773	12257
750	36795	12199
751	36819	12142
752	36846	12086
753	36867	12028
754	36890	11971
755	36917	11915
756	36946	11859
757	36966	11802
758	36987	11744
759	37017	11689
760	37046	11634
761	37067	11577
762	37087	11520
763	37110	11463
764	37142	11409
765	37168	11354
766	37194	11299
767	37228	11246
768	37253	11190
769	37274	11133
770	37300	11079
771	37329	11024
772	37352	10968
773	37373	10912
774	37393	10856
775	37420	10801
776	37446	10747
777	37466	10691
778	37486	10634
779	37517	10581
780	37545	10527
781	37566	10472
782	37589	10417
783	37616	10363
784	37639	10308
785	37661	10253
786	37683	10199
787	37709	10145
788	37741	10092
789	37762	10038
790	37783	9983
791	37814	9931
792	37841	9877
793	37861	9823
794	37882	9768
795	37907	9715
796	37933	9661
797	37953	9607
798	37974	9552
799	37997	9499
800	38035	9449
801	38061	9396
802	38081	9342
803	38113	9291
804	38140	9239
805	38165	9186
806	38187	9132
807	38212	9080
808	38242	9028
809	38266	8975
810	38287	8922
811	38314	8870
812	38338	8818
813	38358	8764
814	38380	8712
815	38404	8659
816	38429	8607
817	38449	8554
818	38470	8502
819	38493	8449
820	38516	8397
821	38543	8346
822	38563	8293
823	38583	8241
824	38614	8190
825	38642	8140
826	38662	8087
827	38684	8035
828	38709	7984
829	38737	7934
830	38759	7882
831	38785	7831
832	38814	7781
833	38841	7731
834	38866	7680
835	38899	7630
836	38941	7583
837	38962	7532
838	38985	7481
839	39014	7431
