iter	Logloss
138	0.4110388918
139	0.4109164473
140	0.4108027092
141	0.4107132102
142	0.4105115815
143	0.4103333445
144	0.4102152302
145	0.4101324245
146	0.40997408
147	0.4098301749
148	0.4096269522
149	0.4095516281
150	0.4093936513
151	0.4092879196
152	0.4091356608
153	0.4090212372
154	0.4088796585
155	0.4086823054
156	0.4085968183
157	0.4084302458
158	0.408223135
159	0.4081573934
160	0.4080784903
161	0.40794853231162	0.40778437291163	0.40768275631164	0.40759360291165	0.40745708
166	0.4073284874
167	0.4071963443
168	0.4070720168
169	0.4069801119
170	0.4068069672
171	0.4066717107
172	0.4066068557
173	0.4065338196
174	0.4063797615
175	0.4063066964
176	0.4062423245
177	0.4061765935
178	0.4060445469
179	0.4058848584
180	0.4057087481
181	0.4055544196
182	0.4054341769
183	0.4053748796
184	0.4051913375
185	0.4050773617
186	0.4049316224
187	0.4048388037
188	0.4047991534
189	0.4046817215
190	0.4046224493
191	0.4044204455
192	0.404347931
193	0.404227752
194	0.4041021931
195	0.4040128953
196	0.4038817928
197	0.4038114721
198	0.4036367498
199	0.4034839711
200	0.4033647304
201	0.4031537957
202	0.4030578203
203	0.4029427842
204	0.4028655908
205	0.4027423093
206	0.4026676588
207	0.4025873231
208	0.4024190502
209	0.4022891378
210	0.4022093558
211	0.4019974597
212	0.4019107883
213	0.4019014101
214	0.4018016194
215	0.401685002
216	0.4015800937
217	0.4014983094
218	0.4014302824
219	0.4012314511
220	0.4010553926
221	0.4008973409
222	0.4007568353
223	0.4006495564
224	0.4005126901
225	0.400313935
226	0.4002186697
227	0.4001096736
228	0.4000231724
229	0.3999666447
230	0.3998895271
231	0.3997144076
232	0.3995898959
233	0.3994383361
234	0.3993434681
235	0.3992776867
236	0.3992021988
237	0.3990925996
238	0.3989822919
239	0.398820075
240	0.3987283572
241	0.398656381
242	0.3985586705
243	0.3984522038
244	0.3983263285
245	0.3982175899
246	0.3980464051
247	0.3978751742
248	0.3977371156
249	0.3976238867
250	0.3974704785
251	0.3973837034
252	0.397319254
253	0.3971085918
254	0.3970206723
255	0.3969405778
256	0.3968130766
257	0.3966638533
258	0.396565869
259	0.3964511378
260	0.3963663177
261	0.3963308296
262	0.3962282082
263	0.3961516126
264	0.3960284692
265	0.3958801885
266	0.3957881714
267	0.3956862059
268	0.3955862118
269	0.3955023865
270	0.3954645357
271	0.3953567647
272	0.3952398821
273	0.3951472372
274	0.3950468184
275	0.3949859777
276	0.3948861845
277	0.3948118232
278	0.3946946113
279	0.3946018033
280	0.3944867705
281	0.3943269121
282	0.3942837424
283	0.394225894
284	0.3941242941
285	0.394032576
286	0.3939323292
287	0.393834958
288	0.3937821993
289	0.3936843615
290	0.3934920726
291	0.3933923099
292	0.393283617
293	0.3931752331
294	0.3930425708
295	0.39292937
296	0.3927970091
297	0.3927130063
298	0.3925647592
299	0.3924543786
300	0.392336836
301	0.392232513
302	0.3921217779
303	0.3920466097
304	0.3919146497
305	0.3917793224
306	0.3917333231
307	0.3914879808
308	0.3913559694
309	0.3912884396
310	0.3912025858
311	0.3911046639
312	0.3909904752
313	0.390886785
314	0.3907573091
315	0.3907009087
316	0.3905898658
317	0.3904673942
318	0.3903317811
319	0.3902117986
320	0.3901140129
321	0.3900450878
322	0.3899432483
323	0.38983997
324	0.3897010236
325	0.3895522982
326	0.3894811264
327	0.3893808675
328	0.3892956188
329	0.3892158822
330	0.3890581724
331	0.3889779544
332	0.3888526717
333	0.3886548062
334	0.388524248
335	0.3884079086
336	0.3882830611
337	0.3882030129
338	0.3881289778
339	0.3880145877
340	0.3879468908
341	0.3878169739
342	0.3876789356
343	0.3876223143
344	0.3875073416
345	0.3873903664
346	0.3872942039
347	0.3872637041
348	0.3871745237
349	0.3870886122
350	0.3869403286
351	0.3868362279
352	0.3866969611
353	0.3866232661
354	0.3865363853
355	0.3864219313
356	0.386331612
357	0.3862699849
358	0.3860855831
359	0.3859861463
360	0.3858868547
361	0.3857099734
362	0.385635565
363	0.3855463568
364	0.3854122532
365	0.3852636957
366	0.3851519159
367	0.3850627487
368	0.3849300261
369	0.3848603224
370	0.3847120873
371	0.3845731007
372	0.3844155196
373	0.3843108859
374	0.3842138549
375	0.3841014811
376	0.3840012341
377	0.3838466879
378	0.3837515563
379	0.383664384
380	0.3836097365
381	0.3834761664
382	0.3833768031
383	0.3832764645
384	0.38323314
385	0.383138754
386	0.3829840106
387	0.382892991
388	0.382836976
389	0.3827494618
390	0.382650729
391	0.3825472792
392	0.3824467714
393	0.382335757
394	0.3822689899
395	0.3821867262
396	0.3820418924
397	0.381952361
398	0.3818812486
399	0.3817114481
400	0.3815342361
401	0.3814258141
402	0.3812312518
403	0.3810986539
404	0.3809848015
405	0.3808279509
406	0.3806663343
407	0.3806092816
408	0.3805244831
409	0.3804282746
410	0.3803679874
411	0.3802611671
412	0.3801718258
413	0.3800984006
414	0.3799369138
415	0.3798511768
416	0.3797153694
417	0.379598181
418	0.3793872155
419	0.3793337946
420	0.3792200005
421	0.3790727998
422	0.3789636289
423	0.3788965407
424	0.3787906736
425	0.3786851388
426	0.3785840433
427	0.3784827755
428	0.3783088474
429	0.3781942616
430	0.3781233044
431	0.3780521952
432	0.3779369073
433	0.3778416085
434	0.3777181141
435	0.3776047812
436	0.3775361269
437	0.37739841
438	0.377170794
439	0.3770307313
440	0.3768648134
441	0.3767404021
442	0.3766027228
443	0.3764922655
444	0.3763582012
445	0.3762859491
446	0.3761320582
447	0.3759788214
448	0.3758344819
449	0.3757140603
450	0.3756548987
451	0.3755440708
452	0.3754042734
453	0.3752622043
454	0.3751713596
455	0.3751157442
456	0.3750985871
457	0.3749280225
458	0.374728133
459	0.3745659259
460	0.3744049558
461	0.3742646792
462	0.3741394439
463	0.3740086045
464	0.373870389
465	0.3738534379
466	0.373674942
467	0.3736016886
468	0.3734275646
469	0.3733453621
470	0.3732370993
471	0.3731097177
472	0.3730183898
473	0.3728518367
474	0.372730479
475	0.3726529973
476	0.3725412796
477	0.3724160742
478	0.3723198558
479	0.3722001344
480	0.3720631248
481	0.3719639104
482	0.3718617903
483	0.3717708747
484	0.3716915503
485	0.3715678399
486	0.3714131053
487	0.3713492721
488	0.371300958
489	0.3712347592
490	0.3711259892
491	0.3710549629
492	0.3709924302
493	0.3709292978
494	0.3707757871
495	0.3706731606
496	0.3704990499
497	0.3704273444
498	0.3703305825
499	0.3703113807
500	0.3702756489
501	0.3701503719
502	0.3700669591
503	0.3699651028
504	0.3698529471
505	0.3697449455
506	0.3697041695
507	0.3695874509
508	0.3695507939
509	0.3693956769
510	0.3693076126
511	0.3692223129
512	0.3690798917
513	0.3690367542
514	0.3689262925
515	0.3688428684
516	0.3687938082
517	0.3687031694
518	0.3685972417
519	0.3685267929
520	0.3683982727
521	0.3682982968
522	0.3681683578
523	0.3680555904
524	0.3680136819
525	0.3679637239
526	0.3678626412
527	0.3677296045
528	0.3676363949
529	0.3675047817
530	0.367417043
531	0.3673481338
532	0.3672858232
533	0.3672236966
534	0.3671169413
535	0.3670194252
536	0.3669460902
537	0.3668237795
538	0.3667902397
539	0.3666921667
540	0.3665684103
541	0.3664626117
542	0.3663287147
543	0.3662025302
544	0.366094356
545	0.3660217563
546	0.3659708795
547	0.3658786283
548	0.3658028104
549	0.3657160533
550	0.3656285856
551	0.3655667009
552	0.3654591739
553	0.3653092272
554	0.3652441873
555	0.3651324339
556	0.3650665463
557	0.3650094696
558	0.3648501613
559	0.36473577
560	0.3646759463
561	0.3645581335
562	0.3644356652
563	0.3643117041
564	0.3641774426
565	0.3640172628
566	0.3638664022
567	0.3637789991
568	0.3637322379
569	0.3637004504
570	0.3636131225
571	0.3634394479
572	0.3633068377
573	0.3632228957
574	0.3630799973
575	0.3629147106
576	0.3628087465
577	0.3626802511
578	0.362623623
579	0.3625420724
580	0.3624537232
581	0.3622688907
582	0.3622024366
583	0.3621660613
584	0.3619852503
585	0.3618658451
586	0.3618030339
587	0.3616732116
588	0.3615600164
589	0.3614699584
590	0.36135772
591	0.3612557513
592	0.3611884356
593	0.3611317527
594	0.3610270881
595	0.3609716986
596	0.3608426329
597	0.3607574419
598	0.3606459801
599	0.3605171564
600	0.3604471449
601	0.3603686868
602	0.3603352289
603	0.3602448923
604	0.3601297364
605	0.3600794968
606	0.3600217951
607	0.3599488485
608	0.35975176
609	0.3596899097
610	0.3595701453
611	0.3594830846
612	0.3593592143
613	0.3592764381
614	0.3592164756
615	0.359110141
616	0.35907278
617	0.3589335189
618	0.358853098
619	0.3587770607
620	0.3586871793
621	0.3585778969
622	0.358391027
623	0.3582240718
624	0.3581581194
625	0.3580577069
626	0.3579340076
627	0.3578280172
628	0.3577081053
629	0.3576610295
630	0.3576180431
631	0.3574983637
632	0.3574435723
633	0.3574146213
634	0.3572743663
635	0.3571193881
636	0.3569713717
637	0.356845098
638	0.3567525667
639	0.3566541284
640	0.3565747257
641	0.3564465735
642	0.3563774936
643	0.3563166093
644	0.3562819747
645	0.3561687307
646	0.3560344654
647	0.3559880266
648	0.3558985086
649	0.3557537572
650	0.3556510374
651	0.355510349
652	0.355404406
653	0.3553219317
654	0.3552239392
655	0.3551336732
656	0.355040384
657	0.3549736534
658	0.3548665978
659	0.3547506309
660	0.3547223071
661	0.3546218928
662	0.354502748
663	0.3544473825
664	0.3543415696
665	0.354285068
666	0.3541379933
667	0.3540907933
668	0.3539908017
669	0.3538679545
670	0.3537644035
671	0.3537026648
672	0.3536648463
673	0.353571298
674	0.3534963313
675	0.3534570399
676	0.3533598571
677	0.3532508378
678	0.3532153
679	0.3531899796
680	0.3530971491
681	0.3530093844
682	0.3529113953
683	0.3527731858
684	0.3527121968
685	0.3526263416
686	0.3525321527
687	0.3524488336
688	0.3522727426
689	0.3522032638
690	0.3521033226
691	0.3519691506
692	0.3519104082
693	0.3518499586
694	0.3517687314
695	0.3516697155
696	0.351656118
697	0.3516250147
698	0.3515346157
699	0.3514647087
700	0.3513682743
701	0.3513230357
702	0.3513057124
703	0.3511703102
704	0.3510911158
705	0.3509936994
706	0.3508709598
707	0.3507217158
708	0.3506173448
709	0.350522583
710	0.3504927723
711	0.350339109
712	0.3502798243
713	0.350263762
714	0.350198362
715	0.3500999214
716	0.3499934119
717	0.3499152865
718	0.3498138603
719	0.3497877797
720	0.3497051689
721	0.349613643
722	0.3495962059
723	0.3495080268
724	0.3494481773
725	0.3493926861
726	0.3493360367
727	0.3492718571
728	0.3491722241
729	0.3490994175
730	0.3490094025
731	0.3488921205
732	0.3488311741
733	0.3487064081
734	0.3486526095
735	0.3486281594
736	0.3486124218
737	0.3485938019
738	0.3485643263
739	0.3484579229
740	0.3483478604
741	0.3482886944
742	0.3481547744
743	0.3480841419
744	0.3479624431
745	0.3478238582
746	0.347694778
747	0.347613497
748	0.3474993814
749	0.3473571875
750	0.3473510936
751	0.3472134582
752	0.3471317264
753	0.3470507284
754	0.3469395246
755	0.3468719215
756	0.3467458505
757	0.3466501845
758	0.3465343601
759	0.3464082812
760	0.3463706015
761	0.3462746478
762	0.3462043046
763	0.3461531115
764	0.3460063691
765	0.3459271472
766	0.3458166024
767	0.3457444429
768	0.3457430085
769	0.3456653097
770	0.3455939307
771	0.3454852908
772	0.3453802702
773	0.345309246
774	0.345197134
775	0.3451272458
776	0.3450201443
777	0.344914908
778	0.344897788
779	0.3448352016
780	0.3447120205
781	0.3446752825
782	0.344631153
783	0.3445152925
784	0.3444001082
785	0.3443064378
786	0.3441901746
787	0.3441668381
788	0.3440451507
789	0.3439881027
790	0.3439320385
791	0.3438951937
792	0.3438094108
793	0.3436501624
794	0.343612046
795	0.3435049018
796	0.3434448384
797	0.3433559709
798	0.3432062222
799	0.3431563284
800	0.3430564804
801	0.3429584222
802	0.3428785921
803	0.342785077
804	0.3426681825
805	0.3425726159
806	0.34245583
807	0.34241315
808	0.3423355385
809	0.3422581499
810	0.3422042967
811	0.3421493788
812	0.3420437945
813	0.3419745114
814	0.3419132083
815	0.3418449478
816	0.3417710981
817	0.3416008844
818	0.3414981551
819	0.3414224559
820	0.3413543976
821	0.3412420288
822	0.341218611
823	0.3411063808
824	0.341049428
825	0.3409722667
826	0.3409203981
827	0.3408754456
828	0.340810443
829	0.3407337688
830	0.3406628935
831	0.340629187
832	0.3405638366
833	0.3405437489
834	0.3404132223
835	0.340316797
836	0.3402056207
837	0.3401355489
838	0.3400967684
839	0.3399762128
840	0.3398570874
841	0.3398006982
842	0.3397247846
843	0.3396420731
844	0.3396290825
845	0.339551756
846	0.3394736759
847	0.3393317254
848	0.3392390475
849	0.3391461935
850	0.3390780724
851	0.3389956121
852	0.338827051
853	0.3387673786
854	0.3387566359
855	0.3387134249
856	0.3386853326
857	0.3385559113
858	0.3384847737
859	0.338393662
860	0.3382746135
861	0.3382178279
862	0.3381230382
863	0.3380406826
864	0.3379432039
865	0.3378501341
866	0.3378009281
867	0.337742122
868	0.3376358067
869	0.3375250353
870	0.3374089793
871	0.3373202264
872	0.337183315
873	0.3371351574
874	0.3370735761
875	0.3370058168
876	0.3368995065
877	0.3368100414
878	0.336687432
879	0.3365856252
880	0.3364917738
881	0.3363871336
882	0.3362986718
883	0.3361861042
884	0.336081742
885	0.3359545259
886	0.335892137
887	0.3358059145
888	0.3357007492
889	0.3355639794
890	0.3354755999
891	0.3353628291
892	0.3352362301
893	0.335169785
894	0.3350332737
895	0.3349094569
896	0.3348187855
897	0.3347643981
898	0.3346995135
899	0.3345931343
900	0.334529692
901	0.3344468146
902	0.3342966324
903	0.3341414255
904	0.3340932044
905	0.334030617
906	0.3339440546
907	0.3338906392
908	0.3338163118
909	0.3337611369
910	0.3337110172
911	0.3336583981
912	0.3335627017
913	0.3334815787
914	0.3334769709
915	0.3333859952
916	0.3332980643
917	0.3332901339
918	0.3332478005
919	0.333132023
920	0.3330490487
921	0.3329752775
922	0.3328815744
923	0.3327768118
924	0.3326193723
925	0.3325116681
926	0.3325096855
927	0.3324625865
928	0.3324367671
929	0.3323271232
930	0.3322857776
931	0.3321538094
932	0.33214698
933	0.3320430098
934	0.3319778882
935	0.3318866312
936	0.3318787796
937	0.3317920428
938	0.3316447648
939	0.3315169287
940	0.3315042772
941	0.3314190773
942	0.331249582
943	0.3311898564
944	0.3311071297
945	0.3310628994
946	0.330943832
947	0.3308741896
948	0.3308032537
949	0.3306894176
950	0.3305692534
951	0.3304603349
952	0.3302976555
953	0.330162258
954	0.3301046648
955	0.3299694543
956	0.3299002652
957	0.3298980443
958	0.3298382084
959	0.3298093933
960	0.3297123303
961	0.3296108707
962	0.3295345901
963	0.3294568523
964	0.3293670499
965	0.3293317262
966	0.3292221316
967	0.3291086691
968	0.3290072793
969	0.3288727864
970	0.3287546185
971	0.3287199255
972	0.3286812501
973	0.3285828348
974	0.3284810234
975	0.3284492586
976	0.3284419015
977	0.3284091935
978	0.3283319783
979	0.3282567479
980	0.3282201491
981	0.3282126012
982	0.3281065012
983	0.3280482123
984	0.3279442771
985	0.3279242023
986	0.3278405108
987	0.327735354
988	0.3276829644
989	0.3276326269
990	0.327520537
991	0.3274630353
992	0.3274153102
993	0.3273635337
994	0.3272582695
995	0.3271693987
996	0.3271046641
997	0.3270154196
998	0.3269511701
999	0.3268526971
53
999	0.3296574184
2
161
